name,rating,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,agtron,aroma,acid,body,flavor,aftertaste,desc_1,roast_Dark,roast_Light,roast_Medium,roast_Medium-Dark,roast_Medium-Light,cluster
Ethiopia Bombe Mountains,94,1,0,0,0,0,0,0.7631578947368421,9.0,9.0,9.0,9.0,8.0,"Complexly fruit-toned, chocolaty. Dried blueberry, watermelon candy, chocolate fudge, almond, sandalwood in aroma and cup. Sweet-tart structure with winy acidity; full, syrupy mouthfeel. The rich-toned finish consolidates to blueberry, chocolate fudge, and sandalwood.",0,0,0,0,1,1
Tanzania Peaberry,93,1,0,0,0,0,0,0.7777777777777778,9.0,8.0,9.0,9.0,8.0,"Vibrantly sweet, richly savory. Toffee, black currant, sandalwood, pink grapefruit zest, gardenia in aroma and cup. Sweet-toned with brisk acidity; full, syrupy- smooth mouthfeel. The finish is evocative of toffee and sandalwood with undertones of pink grapefruit zest.",0,0,0,0,1,1
Haraaz Red Yemen,94,1,0,0,0,0,0,0.7435897435897436,9.0,9.0,9.0,9.0,8.0,"Richly spice-toned, fruit-forward. Goji berry, amber, dried ginger, cashew, freesia-like flowers in aroma and cup. Sweet in structure with high-toned acidity; plush, syrupy mouthfeel. The flavor-saturated finish consolidates to notes of goji berry and amber.",0,0,0,0,1,1
Ethiopia Dur Feres Natural,94,1,0,0,0,0,0,0.7692307692307693,9.0,9.0,9.0,9.0,8.0,"Gently fruit-toned, crisply sweet. Blueberry, honeysuckle, hazelnut, lemon zest, caramel in aroma and cup. Sweet-toned structure with juicy acidity; full, satiny-smooth mouthfeel. The finish consolidates to blueberry and caramel.",0,0,0,0,1,1
Cual Bicicleta,93,0,0,1,0,0,0,0.7368421052631579,9.0,8.0,9.0,9.0,8.0,"Citrusy, spice-toned. Dried orange zest, baking spices, golden raisin, hazelnut, fresh-cut oak in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The crisp finish is redolent with dried orange zest and baking spices. ",0,0,0,0,1,1
Honduras Relationship Coffee Norma Lara,93,0,0,1,0,0,0,0.7435897435897436,9.0,8.0,9.0,9.0,8.0,"Richly floral-toned, deeply sweet. Jasmine, grapefruit zest, cocoa nib, marjoram, maple syrup in aroma and cup. Sweet-toned structure with juicy, bright acidity; syrupy-smooth mouthfeel. Balanced, floral, citrusy finish.",0,0,0,0,1,1
Peru San Ignacio Calazobo Lot 2 FTO,93,0,0,0,0,0,1,0.75,9.0,8.0,9.0,9.0,8.0,"Chocolaty and stone fruit-driven. Apricot, milk chocolate, narcissus, maple syrup, cedar in aroma and cup. Sweet structure with mild acidity; full, satiny-smooth mouthfeel. Finish consolidates to notes of milk chocolate and cedar with hints of apricot.",0,0,0,0,1,1
Ethiopian Yirgacheffe Natural,94,1,0,0,0,0,0,0.7631578947368421,9.0,9.0,9.0,9.0,8.0,"Fruit-toned, sweetly tart. Ripe raspberry, lemon zest, dark chocolate, cedar, magnolia in aroma and cup. Tart-leaning structure with juicy acidity; full, syrupy mouthfeel. The resonant finish leads with raspberry and citrus notes in the short, modulating to dark chocolate and cedar in the long.",0,0,0,0,1,1
Kona Red Bourbon Anaerobic Washed Uluwehi Farm,95,0,0,0,1,0,0,0.7837837837837838,9.0,9.0,9.0,9.0,9.0,"Complexly fruit-driven with subtle savory underpinnings. Strawberry guava, banana, cocoa nib, honeysuckle, hints of goat cheese in aroma and cup. Richly aromatic, deeply sweet with bright, juicy acidity; very full, syrupy mouthfeel. The deep-toned finish elegantly extends the character of the cup.",0,0,0,0,1,1
Ka‘ū Tropical Punch Washed,94,0,0,0,1,0,0,0.7837837837837838,9.0,9.0,9.0,9.0,8.0,"Fruit-forward, high-toned. POG (pineapple, orange, guava), cocoa nib, freesia, cashew, lemon verbena in aroma and cup. Richly bittersweet structure with bright acidity; silky, very smooth mouthfeel. Crisp fruit-toned finish.",0,0,0,0,1,1
Kona Lactic Natural Black Rock Farm,93,0,0,0,1,0,0,0.8082191780821918,9.0,8.0,9.0,9.0,8.0,"Sweetly tart, deeply savory. Baking spices, caramel, goat milk yogurt, baking chocolate, violet in aroma and cup. Sweet-savory structure with pert acidity; viscous, creamy mouthfeel. A delicate finish consolidates to baking spices with goat milk undertones.",0,0,0,0,1,1
Kona Tropical Punch Washed,94,0,0,0,1,1,0,0.7894736842105263,9.0,9.0,9.0,9.0,8.0,"Richly fruit-toned, complex. Dried mango, cocoa nib, cascara (coffee cherry tea), lilac, cedar in aroma and cup. Bittersweet structure with winy acidity; satiny-smooth mouthfeel. Fruit-driven finish with a bittersweet undercurrent that lends complexity.",0,0,0,0,1,1
Red Bourbon Natural Exclusive Reserve,95,0,0,0,1,0,0,0.7631578947368421,9.0,9.0,9.0,10.0,8.0,"Sweetly pungent, juicy. Tangerine, dark chocolate, almond butter, honeysuckle, a hint of kefir in aroma and cup. Sweetly tart structure with bold, lactic acidity; full, syrupy mouthfeel. The layered finish consolidates to notes of tangerine and sweet yogurt. ",0,0,0,0,1,1
Panama Abu Natural ASD Geisha BOP GN11,96,0,0,1,0,0,0,0.7631578947368421,9.0,9.0,9.0,10.0,9.0,"Provocative in structure, richly sweet-savory, tangy. Pineapple kefir, vanilla, cocoa nib, aromatic orchid, fresh-cut fir in aroma and cup. Sweet-savory structure with high-toned acidity; lightly syrupy, very viscous mouthfeel. The finish consolidates to notes of vanilla, cocoa and tangy pineapple.",0,0,0,0,1,1
Ethiopia Halo Hartume Daniel Mijane,94,1,0,0,0,0,0,0.7435897435897436,9.0,9.0,9.0,9.0,8.0,"Delicately vibrant, crisply sweet-tart. Peach, cocoa nib, lilac, pink grapefruit zest, pistachio in aroma and cup. Balanced, sweetly tart in structure; richly silky mouthfeel. The satisfying finish consolidates to notes of cocoa-toned stone fruit.",0,0,0,0,1,1
Taiwan Natural Alishan Zhuo-Wu Farm Geisha,94,0,0,0,0,0,0,0.7777777777777778,9.0,9.0,9.0,9.0,8.0,"Elegantly fruit-toned, chocolaty. Dried mulberry, dark chocolate, ginseng, pink grapefruit zest, frankincense in aroma and cup. Sweet-savory structure with rich, engaging acidity; plush, silky mouthfeel. Chocolate- and fruit-driven finish.",0,0,0,0,1,1
Gayo Mandheling Specialty Coffee,93,0,0,0,0,1,0,0.75,9.0,8.0,9.0,9.0,8.0,"Rich, deep, sweetly earth-toned. Pipe tobacco, baking chocolate, date, pistachio, jasmine in aroma and cup. Sweet structure with pert acidity; full, creamy mouthfeel. Pipe tobacco and cashew complicate the chocolaty finish.",0,0,0,0,1,1
El Salvador Geisha Natural,94,0,0,1,0,0,0,0.7837837837837838,9.0,9.0,9.0,9.0,8.0,"Sweet-toned, fruit-forward, delicately floral. Dried strawberry, lilac, cocoa nib, almond brittle, wild honey in aroma and cup. Deeply sweet structure with rich, vibrant acidity; full, viscous mouthfeel. Finish leads with notes of dried strawberry and honey in the short, rounding to cocoa nib in the long.",0,0,0,0,1,1
"DR Congo, Gera Village, SOPACDI",94,1,0,0,0,0,0,0.7631578947368421,9.0,9.0,9.0,9.0,8.0,"Very sweet, high-toned, with savory underpinnings. Tangerine zest, cocoa nib, Bing cherry, amber, almond butter in aroma and cup. Tart-leaning but integrated  structure with vibrant, juicy acidity; full, viscous mouthfeel. The finish is animated by notes of Bing cherry and amber.",0,0,0,0,1,1
Ethiopia Shakiso Natural,93,1,0,0,0,0,0,0.8108108108108109,9.0,8.0,9.0,9.0,8.0,"Deeply aromatic, richly sweet-tart. Dried ripe cherry, honeysuckle, almond butter, baking chocolate, wine barrel in aroma and cup. Sweetly tart structure with fruit-toned, winy acidity; full, syrupy-smooth mouthfeel. Finish consolidates to notes of almond butter and baking chocolate with support from dried cherry.",0,0,0,0,1,1
Ethiopia Haro Guta Natural,94,1,0,0,0,0,0,0.775,9.0,9.0,9.0,9.0,8.0,"Richly aromatic, sweetly tart. Boysenberry, star jasmine, cocoa nib, almond nougat, a hint of wine barrel in aroma and cup. Tart-leaning structure with juicy, vibrant acidity; lush, syrupy mouthfeel. Notes of boysenberry and cocoa nib animate the crisply sweet finish.",0,1,0,0,0,1
South Africa Elephant Coast Estate Coffea Racemosa,92,1,0,0,0,0,0,0.7714285714285715,9.0,8.0,8.0,9.0,8.0,"Richly bittersweet, deep-toned. Hop flowers, pink peppercorn, tangerine zest, quince, fresh-cut fir in aroma and cup. Sweet-savory structure with friendly, accessible acidity; satiny-smooth mouthfeel. The bittersweet finish centers around tangerine zest and quince.",0,0,0,0,1,1
Kenya Washed Peaberry Rnyeusi,94,1,0,0,0,0,0,0.7027027027027027,9.0,9.0,9.0,9.0,8.0,"Poised, balanced, quietly complete. Cocoa nib, green grape, freesia-like flowers, roasted almond, brown sugar in aroma and cup. Balanced, sweet-toned structure with vivacious acidity; lively, satiny-smooth mouthfeel. The finish focuses around notes of green grape and freesia with almond undertones.",0,0,0,0,1,1
Estelí Nicaragua,94,0,0,1,0,0,0,0.759493670886076,9.0,9.0,9.0,9.0,8.0,"Intensely fruit- and spice-toned. Lychee, hibiscus flowers, cocoa nib, lemon verbena, a hint of cumin in aroma and cup. Sweet-savory structure with gently lively acidity; syrupy-smooth mouthfeel. The fresh, crisp finish centers around lychee, hibiscus and cocoa nib.",0,0,0,0,1,1
Ka’u Bourbon Champagne Natural,94,0,0,0,1,1,0,0.7631578947368421,9.0,9.0,9.0,9.0,8.0,"Tropical, floral, and fruit-toned. Star jasmine, lychee, dark chocolate, cashew butter, sandalwood in aroma and cup. High-toned structure with vibrant acidity; very full, satiny mouthfeel. Fruit-toned finish with undertones of cashew and sandalwood.",0,0,0,0,1,1
Colombia Ibague Tolima,94,0,0,0,0,0,1,0.8,9.0,9.0,9.0,9.0,8.0,"Delicately fruity, sweetly herbaceous. Lemon-thyme, dried apricot, hazelnut butter, fresh-cut oak, cocoa nib in aroma and cup. Gently tart with wine-toned acidity; full, syrupy mouthfeel. The finish consolidates to notes of cocoa-toned lemon-thyme.",0,1,0,0,0,1
Ethiopia Guji Super-Natural Decaf Water Process,91,1,0,0,0,0,0,0.7230769230769231,8.0,8.0,8.0,9.0,8.0,"Deeply and roundly roast-toned. Dark chocolate, singed cedar, raisin, almond, magnolia in aroma and cup. Sweetly savory with gentle, round acidity; crisp, velvety mouthfeel. Chocolate and raisin lead the way in the quiet finish. ",0,0,1,0,0,1
Shakiso Natural,94,1,0,0,0,0,0,0.7631578947368421,9.0,9.0,9.0,9.0,8.0,"Deeply aromatic, richly sweet-tart. Black cherry, honeysuckle, hazelnut butter, baking chocolate, tangerine zest in aroma and cup. Sweetly tart structure with fruit-toned, winy acidity; full, syrupy-smooth mouthfeel. Finish consolidates to notes of hazelnut and baking chocolate with support from black cherry.",0,0,0,0,1,1
Ethiopia Guji Buku,93,1,0,0,0,0,0,0.7792207792207793,9.0,9.0,8.0,9.0,8.0,"Confidently fruit-forward, sweetly tart. Pomegranate, cherry blossom, Nutella, cedar, spearmint in aroma and cup. Crisply sweet in structure with gently bright acidity; silky mouthfeel. Nut-toned, chocolaty finish.",0,0,0,0,1,1
Wush Wush Ginbo Keffa Ethiopia,95,1,0,0,0,0,0,0.8108108108108109,9.0,9.0,9.0,9.0,9.0,"Profoundly sweet, fruit-forward, candy-like. Clementine orange, Jolly Rancher, milk chocolate, cane sugar, narcissus in aroma and cup. Sweet-toned structure with juicy, vibrant acidity; viscous, honey-like mouthfeel. The prolonged finish evokes cotton candy laced with milk chocolate.",0,0,0,0,1,1
Honduras COMSA Natural,92,0,0,1,0,0,0,0.75,8.0,9.0,8.0,9.0,8.0,"Sweetly savory, rich-toned. Black cherry, freesia-like flowers, baking chocolate, cashew, oak in aroma and cup. Crisp, savory-leaning in structure with juicy acidity; satiny mouthfeel. The finish consolidates to notes of baking chocolate and cashew. ",0,0,0,0,1,1
Costa Rica Anaerobic Cordillera de Fuego,93,0,0,1,0,0,0,0.7567567567567568,9.0,8.0,9.0,9.0,8.0,"Deeply sweet-savory, spice-toned. Watermelon, sassafras, clove (and",0,0,0,0,1,1
La Esperanza Colombia Estate,93,0,0,0,0,0,1,0.7714285714285715,9.0,8.0,9.0,9.0,8.0,"Delicately fruit-toned. Raspberry jam, lemon thyme, dark chocolate, almond brittle, fresh-cut oak in aroma and cup. Sweet structure with gentle, lively acidity; full, syrupy mouthfeel. Finish consolidates to notes of lemon thyme and oak.",0,0,0,0,1,1
Ka‘ū Lactic Natural,95,0,0,0,1,0,0,0.7792207792207793,9.0,9.0,9.0,9.0,9.0,"Voluptuous, juicy, unique. Starfruit, cocoa nib, star jasmine, amber, wild strawberry in aroma and cup. High-toned, vibrantly sweet structure with bright, balanced acidity; viscous, syrupy mouthfeel. Resonantly, long, lingering finish, fruity and deep.",0,0,0,0,1,1
Ethiopia Guji (Rose Selection),93,1,0,0,0,0,0,0.7894736842105263,9.0,9.0,8.0,9.0,8.0,"Fruit-forward, multi-layered. Blueberry, musk, cocoa powder, freesia-like flowers, a hint of rum barrel in aroma and cup. Balanced structure with lively acidity; velvety-smooth mouthfeel. The resonant finish leads with dark berries in the short, while the long is characterized by spice-toned florals and a touch of sweet ferment.",0,0,0,0,1,1
Philippines Sitio Belis 1014,92,0,0,0,0,1,0,0.7631578947368421,8.0,8.0,9.0,9.0,8.0,"Fruit-toned, sweetly herbaceous. Goji berry, lemon verbena, cedar, baking chocolate, malt in aroma and cup. Sweet-toned with gentle acidity; full, syrupy mouthfeel. Quietly chocolaty finish with citrus undertones.",0,0,0,0,1,1
Colombia Jardines del Eden Pink Bourbon Wine Yeast Honey,94,0,0,0,0,0,1,0.7441860465116279,9.0,9.0,9.0,9.0,8.0,"Tropical fruit-toned, richly aromatic. Passionfruit, lychee, dark chocolate, tangerine zest, amber in aroma and cup. Sweetly tart structure with piquant acidity; full, syrupy-smooth mouthfeel. Fruit-driven finish with undertones of crisp chocolate.",0,1,0,0,0,1
Bombe Natural Sidama,92,1,0,0,0,0,0,0.7105263157894737,9.0,8.0,8.0,9.0,8.0,"Fruit-forward, sweetly herbaceous. Raspberry coulis, lemon verbena, cacao nib, sandalwood, freesia-like flowers in aroma and cup. Crisply sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The finish consolidates to raspberry and cocoa with a sandalwood throughline underneath.",0,0,0,0,1,1
Ethiopia Yirgacheffe Botabaa G1,92,1,0,0,0,0,0,0.6923076923076923,8.0,9.0,8.0,9.0,8.0,"Citrusy and spice-toned. Lemon verbena, gardenia-like flowers, sandalwood, caramel, pink peppercorn in aroma and cup. Richly sweet-tart in structure with vibrant acidity; full, satiny mouthfeel. The finish consolidates to lemon verbena and sandalwood in the short, with caramel resurfacing in the long.",0,0,0,0,1,1
Honduras Las Flores Parainema,94,0,0,1,0,0,0,0.7,9.0,9.0,9.0,9.0,8.0,"Spice-toned, complex, richly bittersweet. Blackberry, dark chocolate, blood orange zest, ginger blossom, oak in aroma and cup. Bittersweet in structure with bright, high-toned acidity; plush, syrupy mouthfeel. The resonant finish is redolent with notes of cocoa-toned blackberry and spicy ginger blossom.",0,0,0,0,1,1
Kona Liberica Champagne Natural,93,0,0,0,1,0,0,0.7894736842105263,9.0,8.0,9.0,9.0,8.0,"Subtly complex, rich-toned. Goji berry, cocoa nib, agave nectar, hibiscus, lemon-thyme in aroma and cup. Bright, bittersweet structure with brisk acidity; very full, satiny-smooth mouthfeel. The resonant finish centers around notes of goji berry and lemon-thyme.",0,0,0,0,1,1
Foothills Series Hambela Ethiopia,91,1,0,0,0,0,0,0.7368421052631579,8.0,8.0,8.0,9.0,8.0,"Fruit-toned, richly sweet. Strawberry, dark chocolate, nutmeg, grapefruit zest, fresh-cut fir in aroma and cup. Sweet-toned structure with round, gentle acidity; satiny-smooth mouthfeel. The gently drying finish centers around fresh-cut fir with strawberry and nutmeg suggestions.",0,0,0,0,1,1
Kenya AA,93,1,0,0,0,0,0,0.7567567567567568,9.0,9.0,8.0,9.0,8.0,"Sweetly sweet-savory. Red currant, violet, oregano, cocoa nib, cedar in aroma and cup. Sweet structure with vibrant, balanced acidity; satiny-smooth mouthfeel. The subtle finish consolidates to notes of red currant and cocoa nib.",0,0,0,0,1,1
Ethiopia WORKA,94,1,0,0,0,0,0,0.75,9.0,9.0,9.0,9.0,8.0,"Delicately floral and fruit-toned. Honeysuckle, honeydew melon, lemon verbena, roasted cacao nib, frankincense in aroma and cup. Sweet-tart structure with playful, bright acidity; full, satiny mouthfeel. The richly sweet finish consolidates to cocoa-toned honeysuckle and melon.",0,0,0,0,1,1
Costa Rica Cerro Dragon Geisha Honey,94,0,0,1,0,0,0,0.7564102564102564,9.0,9.0,9.0,9.0,8.0,"Delicately sweet-tart, balanced. Guava, macadamia nut, lemon verbena, cocoa nib, oak forest notes in aroma and cup. Sweetly tart structure with high-toned, balanced acidity; crisp, silky mouthfeel. The finish consolidates to notes of cocoa-toned guava with sweet herb undertones.",0,0,0,0,1,1
Colombia El Paraiso Floral Lychee,93,0,0,0,0,0,1,0.7804878048780488,9.0,8.0,9.0,9.0,8.0,"Floral-toned, richly sweet-savory. Black cherry, dark chocolate, marjoram, sandalwood, agave syrup in aroma and cup. Sweetly tart structure with brisk acidity; syrupy-smooth mouthfeel. The finish leads with notes of black cherry, rounding to cocoa tones in the long.",0,1,0,0,0,1
Costa Rica Canet Musician Mozart,92,0,0,1,0,0,0,0.7532467532467533,8.0,8.0,9.0,9.0,8.0,"Spice-toned, richly sweet. Clove, caramel, red apple, honeysuckle, oak in aroma and cup. Sweet structure with brisk acidity; full, syrupy mouthfeel. Finish consolidates to notes of baking spices and caramel.",0,0,0,0,1,1
Kiunyu Peaberry,94,1,0,0,0,0,0,0.6842105263157895,9.0,9.0,9.0,9.0,8.0,"Spice-toned, deep, resonant. Dried persimmon, perique (fermented) tobacco, cinnamon, dark chocolate, gardenia-like flowers in aroma and cup. Sweet-savory structure with engagingly citrusy acidity; plush, syrupy mouthfeel. The finish leads with dried persimmon and dark chocolate, followed by pipe tobacco and cinnamon.",0,0,0,0,1,1
Costa Rica Geisha Honey COE 2018 2nd Place,94,0,0,1,0,0,0,0.6578947368421053,9.0,9.0,9.0,9.0,8.0,"Rich, high-toned, sweetly herbaceous. Lemon verbena, roasted almond, black cherry, narcissus, black peppercorn in aroma and cup. Savory-sweet structure with high-toned, lively acidity; plush, syrupy mouthfeel. The finish leads with black cherry and narcissus in the short, with notes of almond and peppercorn in the long, and an undercurrent of lemon verbena throughout.",0,0,0,0,1,1
Nicaragua La Benedicion Pacamara,93,0,0,1,0,0,0,0.6923076923076923,9.0,8.0,9.0,9.0,8.0,"Fruit-toned, richly sweet. Raspberry liqueur, sandalwood, roasted cashew, honeysuckle, orange zest in aroma and cup. Deeply sweet in structure with high-toned, juicy acidity; full, satiny-smooth mouthfeel. Notes of cashew and honeysuckle lead in the short finish, with sandalwood and hints of raspberry liqueur in the long.",0,0,0,0,1,1
Yemen Mocca Matari,94,1,0,0,0,0,0,0.7692307692307693,9.0,9.0,9.0,9.0,8.0,"Very sweet, richly savory. Honey, tiger lily, fresh pipe tobacco, ginseng, date in aroma and cup. Richly sweet structure with juicy-tart acidity; Syrupy-smooth mouthfeel. Finish leads with notes of pipe tobacco and flowers.",0,0,0,0,1,1
Ecuador COE 1st place Arashi Typica Mejorado Washed,96,0,0,0,0,0,1,0.775,9.0,9.0,9.0,10.0,9.0,"Exceptionally balanced, high-toned. Pineapple, bergamot, cocoa nib, hazelnut, ginger flower in aroma and cup. Sweetly tart structure with cleanly fruity, vibrant acidity; very full, richly satiny mouthfeel. Crystalline finish that carries over all the aroma and flavor notes from the cup.",0,1,0,0,0,1
Kona Naturals,92,0,0,0,1,0,0,0.6756756756756757,9.0,8.0,8.0,9.0,8.0,"Fruit-toned, richly sweet. Dried mango, coconut, freesia, honey, fir, a hint of aged grappa in aroma and cup. Sweet-toned structure with winy acidity; creamy mouthfeel. The fruit-forward character carries into the finish, where aromatic wood notes are also amplified. ",0,0,0,0,1,1
Yemen Mocha Khulani,93,1,0,0,0,0,0,0.75,9.0,9.0,8.0,9.0,8.0,"Subtly complex, fruit-toned. Raspberry coulis, freesia, almond nougat, cedar, lemon verbena in aroma and cup. Sweet-tart structure with vibrant acidity; crisp, silky mouthfeel. Berry and cedar-toned finish.",0,0,0,0,1,1
Borneo Sabah Arabica,90,0,0,0,0,1,0,0.7142857142857143,8.0,7.0,9.0,9.0,7.0,"Sweetly tart, spice-toned. Dried black cherry, lantana, pipe tobacco, allspice, cedar in aroma and cup. Tart-leaning structure with brisk acidity; plush, syrupy mouthfeel. In the quiet, gently drying finish, fruit and florals recede and savory/spice notes, specifically pipe tobacco and cedar, are amplified.",0,0,0,0,1,1
Colombia Lagoon Java Anaerobic,93,0,0,0,0,0,1,0.717948717948718,9.0,8.0,9.0,9.0,8.0,"Fruit-forward, high-toned. Pink grapefruit zest, rhododendron, baking chocolate, agave syrup, freesia in aroma and cup. Sweet-toned structure with brisk acidity; very full, syrupy mouthfeel. Crisply sweet, floral-toned finish with citrus undertones.",0,0,0,0,1,1
Colombia La Palma Y El Tucán Gesha Natural,94,0,0,0,0,0,1,0.7777777777777778,9.0,9.0,9.0,9.0,8.0,"Dried mulberry, lemon verbena, apple blossom, cocoa nib, wild honey in aroma and cup. Sweet, high-toned structure with fruity acidity; full, satiny-smooth mouthfeel. Cocoa- and mulberry-driven finish.",0,0,0,0,1,1
Boru Batak Sumatra,94,0,0,0,0,1,0,0.7066666666666667,9.0,8.0,9.0,9.0,8.0,"Deep, complex, sweetly pungent. Black currant, baker’s chocolate, moist, fresh-fallen leaves, maple syrup, a slight hint of juicy, berryish ferment in aroma and cup. Crisply sweet-savory in structure; plush, buoyant mouthfeel. Flavor resonates long into a richly drying finish.",0,0,0,0,1,1
Sumatra Aceh Gayo Mountain Kenawat Raisin Honey,93,0,0,0,0,1,0,0.6710526315789473,9.0,8.0,9.0,9.0,8.0,"Deep, rich, pungent. Fresh cantaloupe, tangerine zest, caramelly chocolate, sandalwood, magnolia-like flowers in aroma and cup. Roundly and sweetly brisk in structure; satiny in mouthfeel. Fruit, floral and sandalwood carry into a crisply drying though sweet-toned finish.",0,0,0,0,1,1
Ethiopia Gera Reserve Anaerobic Natural,94,1,0,0,0,0,0,0.7380952380952381,9.0,9.0,8.0,9.0,9.0,"Sweetly tart, floral-toned. Tea rose, raspberry coulis, cocoa nib, watermelon rind, almond brittle in aroma and cup. High-toned structure with winey acidity; crisply satiny mouthfeel. Exceptionally long, harmonious finish that exhilaratingly extends the promise of the cup.",0,1,0,0,0,1
Peru La Salina,93,0,0,0,0,0,1,0.7428571428571429,9.0,9.0,8.0,9.0,8.0,"Deeply rich, sweetly savory. Fine musk, toffee, red currant, sandalwood, narcissus-like flowers in aroma and cup. Bright, sweet-savory structure with juicy acidity; satiny-smooth mouthfeel. The crisp finish consolidates to toffee and narcissus.",0,0,0,0,1,1
Costa Rica La Rejolla Washed Geisha,94,0,0,1,0,0,0,0.725,9.0,9.0,9.0,9.0,8.0,"Richly aromatic, floral-toned. Orange blossom, baking chocolate, vanilla bean, apricot, the scent of oak forest in aroma and cup. Crisply sweet structure with floral acidity; very smooth, full mouthfeel. The chocolaty finish is supported by notes of orange blossom and vanilla bean.",0,0,0,0,1,1
Tanzania Tarime AB,94,1,0,0,0,0,0,0.7,9.0,9.0,9.0,9.0,8.0,"Crisply sweet-savory, balanced. Jasmine, toffee, peach, cedar, tamarind in aroma and cup. Sweet-savory structure with juicy, vibrant acidity; syrupy-smooth mouthfeel. All of the flavor and aroma notes are carried over into the finish, gently receding into the pleasing long.",0,0,0,0,1,1
Ethiopia Guji Uraga More Floral Kudume Natural,94,1,0,0,0,0,0,0.8051948051948052,9.0,9.0,9.0,9.0,8.0,"Richly bittersweet, complex, fruit-driven. Chocolate fudge, dried apricot, candied mandarin zest, pistachio brittle, narcissus in aroma and cup. Invitingly bittersweet structure with high-toned, lively acidity; crisp, satiny mouthfeel. The finish centers around notes of chocolate fudge and dried apricot, with undertones of bittersweet mandarin zest into the long. ",0,0,0,0,1,1
Gigesa Natural,95,1,0,0,0,0,0,0.7435897435897436,9.0,9.0,9.0,9.0,9.0,"Richly berry-toned, sweetly herbaceous. Raspberry coulis, lemon verbena, wild honey, cedar, a hint of marjoram in aroma and cup. Sweet structure with vibrant acidity; syrupy-smooth mouthfeel. The fruit-forward finish is supported by sweet herb notes and rich aromatic wood suggesting cedar.",0,0,0,0,1,1
Mellower Blend,92,1,0,0,0,0,0,0.6756756756756757,9.0,8.0,8.0,9.0,8.0,"Low-toned, richly sweet-savory. Ripe banana, narcissus, dark chocolate, fresh-cut fir, a hint of aged grappa in aroma and cup. Tart-leaning structure with brisk acidity; satiny-smooth mouthfeel. The resonant finish consolidates to cocoa-toned banana in the short and fresh-cut fir in the long, all held together by dark chocolate and a running hint of appealing sweet ferment.",0,0,0,0,1,1
Peru Natural Utcubamba,91,0,0,0,0,0,1,0.6883116883116883,8.0,8.0,8.0,9.0,8.0,"Fruit-forward, crisply sweet. Caramelized banana, hibiscus, cedar, pipe tobacco, rum cordial in aroma and cup. Sweet-tart structure with round, gentle acidity; velvety mouthfeel. The quiet finish leads with banana and rum suggestions in the short, rounding to sweet pipe tobacco in the long.",0,0,0,0,1,1
El Salvador El Matazano Pacamara,95,0,0,1,0,0,0,0.7792207792207793,9.0,9.0,9.0,9.0,9.0," Deeply sweet-savory, complex, layered. Asian pear, rhododendron, pomelo, Nutella, candied walnut in aroma and cup. Richly bittersweet structure with gently bright acidity; plush, syrupy-smooth mouthfeel. Resonant, long, flavor-laden finish.",0,0,0,0,1,1
Kenya AA TOP Nairobi Rose,94,1,0,0,0,0,0,0.7792207792207793,9.0,9.0,9.0,9.0,8.0,"Juicy, bright, classic. Sweetly savory, deep-toned. Black currant, amber, brown sugar, magnolia, cedar in aroma and cup. Balanced, sweet-savory structure with vibrant acidity; syrupy-smooth mouthfeel. The resonant finish consolidates to cocoa-toned florals and fruit.",0,0,0,0,1,1
Kenya Konyu,95,1,0,0,0,0,0,0.7037037037037037,9.0,9.0,9.0,9.0,9.0,"Vibrant, rich-toned, sweetly-tart. Tart berry, roasted cacao nib, crisp, bittersweet hop flowers, sandalwood, agave syrup in aroma and cup. Sweetly tart structure with engaging, juicy acidity; syrupy-smooth mouthfeel. The savory-leaning finish is driven by hop flowers, with cocoa nib as another throughline supporting the dried fruit and spicy aromatic wood notes.",0,0,0,0,1,1
Kenya Gatuyaini,93,1,0,0,0,0,0,0.6455696202531646,9.0,8.0,9.0,9.0,8.0,"Sweet-toned, richly savory. Dried fig, ginseng, narcissus, oak forest, hazelnut in aroma and cup. Savory-sweet structure with round, gentle acidity; plush syrupy mouthfeel. The finish consolidates to notes of dried fig and narcissus, followed by sweetly earthy ginseng.",0,0,0,0,1,1
Organic Ethiopia Sidama Natural,92,1,0,0,0,0,0,0.6986301369863014,9.0,8.0,8.0,9.0,8.0,"Richly chocolaty and fruit-toned. Dark chocolate, dried berries, mesquite, orange zest, narcissus-like flowers in aroma and cup. Deeply sweet structure with balanced acidity; velvety-smooth mouthfeel. The finish is redolent of dark chocolate and dried berries with a hint of mesquite.",0,0,0,0,1,1
Ethiopia Washed Guji Uraga Welichu,96,1,0,0,0,0,0,0.7435897435897436,9.0,9.0,9.0,10.0,9.0,"Remarkably sweet, rich-toned, deeply floral. Star jasmine, lychee, dried ginger, cocoa nib, myrrh in aroma and cup. Sweetly tart structure with juicy, lively acidity; delicate, very syrupy mouthfeel. Crisp, long, fruit- and cocoa-toned finish.",0,0,0,0,1,1
